GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "19000","Iowa",4,SAACARTSEMP,232,"...","  Printed goods manufacturing ","Number of jobs",(D),(D),(D),(D),(D),(D),(D),(D),1409,1314,1263,1234,1283,1201,1110,1089,1010,962,909,788,816,858,827
 "19000","Iowa",4,SAACARTSEMP,233,"...","  Musical instruments manufacturing ","Number of jobs",37,33,25,25,25,(D),24,22,22,(D),21,22,21,(D),23,25,24,28,28,27,35,38,39
 "19000","Iowa",4,SAACARTSEMP,234,"...","  Custom architectural woodwork and metalwork manufacturing ","Number of jobs",191,262,254,242,275,295,409,418,339,324,(D),375,405,378,412,436,(D),(D),(D),(D),354,331,344
 "19000","Iowa",4,SAACARTSEMP,236,"...","  Other goods manufacturing ","Number of jobs",411,(D),398,382,379,365,404,360,262,249,194,202,207,244,260,255,298,291,310,319,(D),295,287
 "19000","Iowa",4,SAACARTSEMP,240,"...","  Construction ","Number of jobs",1499,1840,1357,1311,1991,2091,1128,839,1052,2257,2066,1013,629,637,687,893,733,1830,1244,1395,1473,1123,2797
 "19000","Iowa",4,SAACARTSEMP,250,"...","  Wholesale and transportation industries ","Number of jobs",1262,1276,1091,999,947,1094,1205,1209,832,973,1003,957,919,859,952,(D),(D),1120,1181,1226,1218,1241,1197
 "19000","Iowa",4,SAACARTSEMP,260,"...","  Retail industries ","Number of jobs",6397,6262,6292,6640,6583,6468,6565,6409,5680,5529,6115,6215,5366,5206,5036,4904,4472,4412,4404,4193,4454,5557,5793
 "19000","Iowa",4,SAACARTSEMP,300,"..."," All other industries 2/","Number of jobs",2277,2255,2126,2083,2083,2062,2091,2029,1937,1762,1721,1614,1563,1589,1639,1647,1586,1583,1591,1495,1509,1593,1622
"Note: See the included footnote file."
"SAACArtsEmp: ACPSA full-time and part-time employment by ACPSA industry 1."
"Last updated: April 2, 2025-- new statistics for 2023; revised statistics for 2001-2022."
"U.S. Bureau of Economic Analysis"
