Year,Description,Employees (units of 500 jobs),Actual Employees (Number of Jobs),Compensation (units of $20M),Actual Compensation (Thousands of Dollars)
2017,Musical instruments manufacturing,0,24.0,0,2146.0
2017,Other goods manufacturing,1,298.0,1,23658.0
2017,Other information services,1,639.0,3,65459.0
2017,Other support services,0,10.0,0,452.0
2017,Performing arts companies,1,397.0,1,20834.0
2017,Photography and photofinishing services,1,485.0,1,26228.0
2017,Printed goods manufacturing,2,1010.0,3,53820.0
2017,Promoters of performing arts and similar events,1,497.0,1,27706.0
2017,Publishing,5,2433.0,9,177890.0
2017,Rental and leasing,0,,0,
2017,Retail industries,9,4472.0,6,114008.0
2017,Sound recording,0,33.0,0,1591.0
2017,Unions,0,236.0,0,5492.0
2017,Wholesale and transportation industries,0,,0,
2018,Advertising,3,1501.0,5,91439.0
2018,Agents/managers for artists,0,5.0,0,301.0
2018,All other design services,0,16.0,0,551.0
2018,All other industries 2/,3,1583.0,5,103355.0
2018,Architectural services,1,693.0,3,69723.0
2018,Broadcasting,7,3352.0,12,241674.0
2018,Computer systems design,0,125.0,1,11084.0
2018,Construction,4,1830.0,7,145394.0
2018,Custom architectural woodwork and metalwork manufacturing,0,,0,
2018,Education services,2,870.0,1,29483.0
2018,Fine arts education,1,512.0,1,17631.0
2018,Government,42,21085.0,47,940986.0
2018,Grantmaking and giving services,0,184.0,0,4450.0
2018,Graphic design services,1,399.0,1,21090.0
2018,"Independent artists, writers, and performers",1,415.0,0,7538.0
2018,Industrial design services,0,175.0,1,10525.0
2018,Interior design services,0,139.0,0,7031.0
2018,Jewelry and silverware manufacturing,0,9.0,0,231.0
2018,Landscape architectural services,0,63.0,0,6133.0
2018,Motion pictures,4,1786.0,2,35636.0
2018,Museums,2,1028.0,2,33197.0
2018,Musical instruments manufacturing,0,28.0,0,2369.0
2018,Other goods manufacturing,1,291.0,1,22911.0
2018,Other information services,1,481.0,2,38309.0
2018,Other support services,0,31.0,0,1650.0
2018,Performing arts companies,1,429.0,1,22588.0
2018,Photography and photofinishing services,1,494.0,1,27350.0
2018,Printed goods manufacturing,2,962.0,3,53215.0
2018,Promoters of performing arts and similar events,1,532.0,2,31299.0
2018,Publishing,5,2356.0,9,176849.0
2018,Rental and leasing,1,337.0,1,14645.0
2018,Retail industries,9,4412.0,6,112062.0
2018,Sound recording,0,,0,
2018,Unions,0,217.0,0,5317.0
2018,Wholesale and transportation industries,2,1120.0,4,87257.0
2019,Advertising,0,,0,
2019,Agents/managers for artists,0,4.0,0,241.0
2019,All other design services,0,11.0,0,435.0
2019,All other industries 2/,3,1591.0,5,105637.0
2019,Architectural services,1,718.0,4,70186.0
2019,Broadcasting,6,3202.0,12,237242.0
2019,Computer systems design,0,116.0,1,10795.0
2019,Construction,2,1244.0,5,99448.0
2019,Custom architectural woodwork and metalwork manufacturing,0,,0,
2019,Education services,2,929.0,2,30263.0
2019,Fine arts education,1,517.0,1,18105.0
2019,Government,43,21544.0,49,973812.0
2019,Grantmaking and giving services,0,179.0,0,4774.0
2019,Graphic design services,1,389.0,1,19419.0
2019,"Independent artists, writers, and performers",1,410.0,0,9352.0
2019,Industrial design services,0,169.0,1,10223.0
2019,Interior design services,0,127.0,0,6560.0
2019,Jewelry and silverware manufacturing,0,,0,
2019,Landscape architectural services,0,68.0,0,6912.0
2019,Motion pictures,4,1968.0,2,38946.0
2019,Museums,2,1012.0,2,32712.0
2019,Musical instruments manufacturing,0,28.0,0,2477.0
2019,Other goods manufacturing,1,310.0,1,25016.0
2019,Other information services,1,473.0,2,41600.0
2019,Other support services,0,33.0,0,1778.0
2019,Performing arts companies,0,,0,
2019,Photography and photofinishing services,1,474.0,1,25664.0
2019,Printed goods manufacturing,2,909.0,3,50997.0
2019,Promoters of performing arts and similar events,1,557.0,2,34264.0
2019,Publishing,4,2225.0,9,174362.0
2019,Rental and leasing,1,312.0,1,14620.0
2019,Retail industries,9,4404.0,6,112008.0
2019,Sound recording,0,31.0,0,2038.0
2019,Unions,0,200.0,0,5167.0
2019,Wholesale and transportation industries,2,1181.0,5,95496.0
2020,Advertising,0,,0,
2020,Agents/managers for artists,0,2.0,0,163.0
2020,All other design services,0,11.0,0,439.0
2020,All other industries 2/,3,1495.0,5,106725.0
2020,Architectural services,1,691.0,4,72210.0
2020,Broadcasting,6,3020.0,12,231126.0
2020,Computer systems design,0,105.0,1,10397.0
2020,Construction,3,1395.0,5,109228.0
2020,Custom architectural woodwork and metalwork manufacturing,0,,0,
2020,Education services,2,919.0,2,32395.0
2020,Fine arts education,1,527.0,1,16566.0
2020,Government,41,20474.0,50,990216.0
2020,Grantmaking and giving services,0,148.0,0,4044.0
2020,Graphic design services,1,383.0,1,20072.0
2020,"Independent artists, writers, and performers",0,223.0,0,9639.0
2020,Industrial design services,0,171.0,1,10950.0
2020,Interior design services,0,125.0,0,6379.0
2020,Jewelry and silverware manufacturing,0,10.0,0,307.0
2020,Landscape architectural services,0,70.0,0,7483.0
2020,Motion pictures,2,1206.0,1,25588.0
2020,Museums,2,825.0,2,39260.0
2020,Musical instruments manufacturing,0,27.0,0,2227.0
2020,Other goods manufacturing,1,319.0,1,28000.0
2020,Other information services,1,464.0,2,43233.0
2020,Other support services,0,30.0,0,1021.0
2020,Performing arts companies,1,268.0,1,20125.0
2020,Photography and photofinishing services,0,,0,
2020,Printed goods manufacturing,2,788.0,2,44116.0
2020,Promoters of performing arts and similar events,1,367.0,1,27057.0
2020,Publishing,4,1943.0,8,161474.0
2020,Rental and leasing,0,,0,
2020,Retail industries,8,4193.0,5,109499.0
2020,Sound recording,0,19.0,0,1439.0
2020,Unions,0,158.0,0,5073.0
2020,Wholesale and transportation industries,2,1226.0,6,110054.0
2021,Advertising,0,,0,
2021,Agents/managers for artists,0,3.0,0,228.0
2021,All other design services,0,15.0,0,562.0
2021,All other industries 2/,3,1509.0,6,111471.0
2021,Architectural services,1,718.0,4,79779.0
2021,Broadcasting,6,3005.0,12,243417.0
2021,Computer systems design,0,95.0,1,10447.0
2021,Construction,3,1473.0,5,102520.0
2021,Custom architectural woodwork and metalwork manufacturing,1,354.0,1,24256.0
2021,Education services,2,816.0,1,29755.0
2021,Fine arts education,1,514.0,1,19400.0
2021,Government,40,20237.0,50,990399.0
2021,Grantmaking and giving services,0,156.0,0,5092.0
2021,Graphic design services,1,411.0,1,22119.0
2021,"Independent artists, writers, and performers",0,234.0,1,10555.0
2021,Industrial design services,0,168.0,1,11351.0
2021,Interior design services,0,139.0,0,7135.0
2021,Jewelry and silverware manufacturing,0,11.0,0,311.0
2021,Landscape architectural services,0,73.0,0,7387.0
2021,Motion pictures,3,1296.0,2,32743.0
2021,Museums,2,961.0,2,32836.0
2021,Musical instruments manufacturing,0,35.0,0,2805.0
2021,Other goods manufacturing,0,,0,
2021,Other information services,2,857.0,4,85885.0
2021,Other support services,0,35.0,0,1252.0
2021,Performing arts companies,0,,0,
2021,Photography and photofinishing services,1,449.0,1,21505.0
2021,Printed goods manufacturing,2,816.0,2,48812.0
2021,Promoters of performing arts and similar events,1,449.0,1,26480.0
2021,Publishing,4,1845.0,9,181604.0
2021,Rental and leasing,0,222.0,1,12680.0
2021,Retail industries,9,4454.0,6,124633.0
2021,Sound recording,0,,0,
2021,Unions,0,187.0,0,5249.0
2021,Wholesale and transportation industries,2,1218.0,6,110834.0
2022,Advertising,3,1389.0,5,106513.0
2022,Agents/managers for artists,0,19.0,0,1931.0
2022,All other design services,0,16.0,0,675.0
2022,All other industries 2/,3,1593.0,6,120848.0
2022,Architectural services,2,761.0,4,82747.0
2022,Broadcasting,5,2709.0,11,219021.0
2022,Computer systems design,0,129.0,1,15156.0
2022,Construction,2,1123.0,4,83719.0
2022,Custom architectural woodwork and metalwork manufacturing,1,331.0,1,23826.0
2022,Education services,2,826.0,1,29973.0
2022,Fine arts education,1,552.0,1,25206.0
2022,Government,42,20865.0,53,1054786.0
2022,Grantmaking and giving services,0,157.0,0,5276.0
2022,Graphic design services,1,425.0,1,24686.0
2022,"Independent artists, writers, and performers",1,348.0,1,15378.0
2022,Industrial design services,0,225.0,1,13675.0
2022,Interior design services,0,154.0,0,9094.0
2022,Jewelry and silverware manufacturing,0,12.0,0,376.0
2022,Landscape architectural services,0,69.0,0,7521.0
2022,Motion pictures,4,1766.0,2,43014.0
2022,Museums,2,1036.0,2,33180.0
2022,Musical instruments manufacturing,0,38.0,0,2900.0
2022,Other goods manufacturing,1,295.0,1,27998.0
2022,Other information services,1,731.0,3,66143.0
2022,Other support services,0,40.0,0,1703.0
2022,Performing arts companies,1,376.0,1,20010.0
2022,Photography and photofinishing services,1,479.0,1,23374.0
2022,Printed goods manufacturing,2,858.0,3,53377.0
2022,Promoters of performing arts and similar events,1,538.0,2,41709.0
2022,Publishing,4,1784.0,9,187041.0
2022,Rental and leasing,0,185.0,1,12472.0
2022,Retail industries,11,5557.0,9,181570.0
2022,Sound recording,0,21.0,0,1406.0
2022,Unions,0,170.0,0,5315.0
2022,Wholesale and transportation industries,2,1241.0,6,117329.0
2023,Advertising,3,1424.0,6,110633.0
2023,Agents/managers for artists,0,23.0,0,2391.0
2023,All other design services,0,17.0,0,797.0
2023,All other industries 2/,3,1622.0,6,127605.0
2023,Architectural services,2,793.0,4,84568.0
2023,Broadcasting,5,2628.0,11,211180.0
2023,Computer systems design,0,128.0,1,15539.0
2023,Construction,6,2797.0,12,230852.0
2023,Custom architectural woodwork and metalwork manufacturing,1,344.0,1,26314.0
2023,Education services,1,722.0,1,23355.0
2023,Fine arts education,1,596.0,1,27688.0
2023,Government,41,20515.0,46,924442.0
2023,Grantmaking and giving services,0,135.0,0,5251.0
2023,Graphic design services,1,463.0,1,26962.0
2023,"Independent artists, writers, and performers",1,346.0,1,12484.0
2023,Industrial design services,0,235.0,1,15219.0
2023,Interior design services,0,168.0,1,10591.0
2023,Jewelry and silverware manufacturing,0,,0,
2023,Landscape architectural services,0,73.0,0,8056.0
2023,Motion pictures,4,1780.0,2,46652.0
2023,Museums,2,1088.0,2,39216.0
2023,Musical instruments manufacturing,0,39.0,0,3626.0
2023,Other goods manufacturing,1,287.0,1,28551.0
2023,Other information services,1,739.0,4,71455.0
2023,Other support services,0,40.0,0,1848.0
2023,Performing arts companies,1,427.0,1,24032.0
2023,Photography and photofinishing services,1,431.0,1,21896.0
2023,Printed goods manufacturing,2,827.0,3,53554.0
2023,Promoters of performing arts and similar events,1,569.0,2,48739.0
2023,Publishing,3,1640.0,9,176213.0
2023,Rental and leasing,0,183.0,1,13105.0
2023,Retail industries,12,5793.0,10,195597.0
2023,Sound recording,0,,0,
2023,Unions,0,190.0,0,6165.0
2023,Wholesale and transportation industries,2,1197.0,6,114647.0
