GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "19000","Iowa",4,SAACARTSCOMP,222,"...","  Motion pictures ","Thousands of dollars",32851,31827,32822,36141,36288,41896,40990,38561,39381,32089,32006,32381,30842,32742,32966,34074,35930,35636,38946,25588,32743,43014,46652
 "19000","Iowa",4,SAACARTSCOMP,223,"...","  Sound recording ","Thousands of dollars",877,745,691,1301,1099,1220,806,1322,1227,1038,1604,2669,(D),(D),3370,(D),1591,(D),2038,1439,(D),1406,(D)
 "19000","Iowa",4,SAACARTSCOMP,224,"...","  Broadcasting ","Thousands of dollars",154366,155659,165523,(D),(D),(D),200212,206841,219601,225453,223790,232144,224673,234038,234018,232193,232272,241674,237242,231126,243417,219021,211180
 "19000","Iowa",4,SAACARTSCOMP,225,"...","  Other information services ","Thousands of dollars",28865,20971,19180,13887,12166,12169,11701,(D),(D),13678,17532,(D),(D),29546,33652,58257,65459,38309,41600,43233,85885,66143,71455
 "19000","Iowa",4,SAACARTSCOMP,231,"...","  Jewelry and silverware manufacturing ","Thousands of dollars",(D),312,(D),355,299,227,419,591,401,344,220,229,163,72,171,80,121,231,(D),307,311,376,(D)
 "19000","Iowa",4,SAACARTSCOMP,232,"...","  Printed goods manufacturing ","Thousands of dollars",(D),(D),(D),(D),(D),(D),(D),(D),62452,59417,60108,60871,62570,60894,56218,56595,53820,53215,50997,44116,48812,53377,53554
 "19000","Iowa",4,SAACARTSCOMP,233,"...","  Musical instruments manufacturing ","Thousands of dollars",2644,2464,1487,1305,1398,(D),1672,1450,1818,(D),1921,1966,1575,(D),1691,1943,2146,2369,2477,2227,2805,2900,3626
 "19000","Iowa",4,SAACARTSCOMP,234,"...","  Custom architectural woodwork and metalwork manufacturing ","Thousands of dollars",7800,11156,10826,10304,11895,13261,18279,21042,16222,14087,(D),17596,19702,18967,21989,23487,(D),(D),(D),(D),24256,23826,26314
 "19000","Iowa",4,SAACARTSCOMP,236,"...","  Other goods manufacturing ","Thousands of dollars",19785,(D),21476,22559,22290,23821,28442,22965,16882,17916,15981,14806,15202,17622,18811,17947,23658,22911,25016,28000,(D),27998,28551
 "19000","Iowa",4,SAACARTSCOMP,240,"...","  Construction ","Thousands of dollars",77887,93120,67476,67716,100151,107765,59296,47292,62529,140979,136700,67121,42588,45370,50554,67989,54305,145394,99448,109228,102520,83719,230852
 "19000","Iowa",4,SAACARTSCOMP,250,"...","  Wholesale and transportation industries ","Thousands of dollars",50230,51897,47844,46239,45792,53819,60268,63177,41021,50876,53798,53262,51723,48963,58106,(D),(D),87257,95496,110054,110834,117329,114647
 "19000","Iowa",4,SAACARTSCOMP,260,"...","  Retail industries ","Thousands of dollars",126562,128591,137691,144241,144013,146356,144812,145502,121915,118947,147068,150823,129952,127325,124101,124291,114008,112062,112008,109499,124633,181570,195597
 "19000","Iowa",4,SAACARTSCOMP,300,"..."," All other industries 2/","Thousands of dollars",87111,89426,88214,91233,94532,96400,102116,103309,100102,93146,93183,89734,88238,92743,98293,100758,100093,103355,105637,106725,111471,120848,127605
"Note: See the included footnote file."
"SAACArtsComp: ACPSA compensation by ACPSA industry 1."
"Last updated: April 2, 2025-- new statistics for 2023; revised statistics for 2001-2022."
"U.S. Bureau of Economic Analysis"
